roundIndex;contract_name;Name;Succ;Fail;Send Rate (TPS);Max Latency (s);Min Latency (s);Avg Latency (s);Throughput (TPS)
38;HotelRoomOrig;ReserveRelease;129;66;79.1;0.07;0.01;0.01;77.1
37;HotelRoomOrig;ReserveRelease;117;0;82.5;0.08;0.01;0.01;78.1
36;HotelRoomOrig;ReserveRelease;129;54;81.6;0.06;0.01;0.01;79.4
35;HotelRoomOrig;ReserveRelease;94;0;86.7;0.07;0.01;0.01;81.2
34;HotelRoomOrig;ReserveRelease;129;53;84.2;0.07;0.01;0.01;81.6
33;HotelRoomOrig;ReserveRelease;64;0;74.1;0.07;0.01;0.01;68.7
32;HotelRoomOrig;ReserveRelease;126;0;82.0;0.06;0.01;0.01;78.8
31;HotelRoomOrig;ReserveRelease;35;0;73.4;0.06;0.01;0.02;64.7
30;HotelRoomOrig;ReserveRelease;108;0;78.9;0.08;0.01;0.01;74.5
29;HotelRoomOrig;ReserveRelease;129;78;75.2;0.07;0.01;0.01;73.5
28;HotelRoomOrig;ReserveRelease;117;0;81.3;0.07;0.01;0.01;77.7
27;HotelRoomOrig;ReserveRelease;129;26;77.3;0.07;0.01;0.01;74.9
26;HotelRoomOrig;ReserveRelease;77;0;82.7;0.07;0.01;0.01;76.8
25;HotelRoomOrig;ReserveRelease;78;0;84.8;0.07;0.01;0.01;79.1
24;HotelRoomOrig;ReserveRelease;42;0;79.2;0.07;0.01;0.01;70.1
23;HotelRoomOrig;ReserveRelease;129;1;78.9;0.07;0.01;0.01;75.9
22;HotelRoomOrig;ReserveRelease;117;0;82.6;0.07;0.01;0.01;78.9
21;HotelRoomOrig;ReserveRelease;94;0;86.0;0.07;0.01;0.01;80.6
20;HotelRoomOrig;ReserveRelease;126;0;81.9;0.09;0.01;0.01;77.6
19;HotelRoomOrig;ReserveRelease;129;42;80.5;0.07;0.01;0.01;77.9
18;HotelRoomOrig;ReserveRelease;54;0;82.6;0.06;0.01;0.01;75.2
17;HotelRoomOrig;ReserveRelease;129;56;78.9;0.07;0.01;0.01;76.7
16;HotelRoomOrig;ReserveRelease;125;0;84.4;0.07;0.01;0.01;80.7
15;HotelRoomOrig;ReserveRelease;129;47;76.2;0.07;0.01;0.01;73.8
14;HotelRoomOrig;ReserveRelease;63;0;73.7;0.06;0.01;0.01;68.6
13;HotelRoomOrig;ReserveRelease;129;69;81.1;0.06;0.01;0.01;79.1
12;HotelRoomOrig;ReserveRelease;36;0;69.6;0.07;0.01;0.02;61.7
11;HotelRoomOrig;ReserveRelease;129;16;78.7;0.07;0.01;0.01;76.0
10;HotelRoomOrig;ReserveRelease;129;70;77.7;0.06;0.01;0.01;75.9
9;HotelRoomOrig;ReserveRelease;63;0;74.7;0.07;0.01;0.01;68.9
8;HotelRoomOrig;ReserveRelease;80;0;78.2;0.07;0.01;0.01;72.9
7;HotelRoomOrig;ReserveRelease;48;0;72.1;0.06;0.01;0.01;65.9
6;HotelRoomOrig;ReserveRelease;69;0;82.8;0.07;0.01;0.01;76.8
5;HotelRoomOrig;ReserveRelease;129;15;79.2;0.08;0.01;0.01;75.9
4;HotelRoomOrig;ReserveRelease;87;0;77.1;0.06;0.01;0.01;73.0
3;HotelRoomOrig;ReserveRelease;63;0;76.8;0.08;0.01;0.01;69.7
2;HotelRoomOrig;ReserveRelease;129;66;76.1;0.08;0.01;0.01;73.9
1;HotelRoomOrig;ReserveRelease;129;8;83.5;0.08;0.01;0.01;79.6
100;HotelRoomBug;ReserveRelease;112;0;83.5;0.07;0.01;0.01;79.6
99;HotelRoomBug;ReserveRelease;129;15;82.5;0.07;0.01;0.01;79.4
98;HotelRoomBug;ReserveRelease;129;66;82.2;0.08;0.01;0.01;79.5
97;HotelRoomBug;ReserveRelease;129;1;83.7;0.06;0.01;0.01;80.7
96;HotelRoomBug;ReserveRelease;129;80;78.3;0.08;0.01;0.01;76.2
95;HotelRoomBug;ReserveRelease;129;51;82.7;0.07;0.01;0.01;80.0
94;HotelRoomBug;ReserveRelease;129;65;80.2;0.07;0.01;0.01;78.0
93;HotelRoomBug;ReserveRelease;84;0;82.3;0.07;0.01;0.01;77.3
92;HotelRoomBug;ReserveRelease;129;14;84.2;0.08;0.01;0.01;80.3
91;HotelRoomBug;ReserveRelease;129;35;78.1;0.07;0.01;0.01;75.6
90;HotelRoomBug;ReserveRelease;58;0;79.0;0.07;0.01;0.01;72.0
89;HotelRoomBug;ReserveRelease;58;0;74.0;0.06;0.01;0.01;68.4
88;HotelRoomBug;ReserveRelease;129;63;82.7;0.08;0.01;0.01;80.0
87;HotelRoomBug;ReserveRelease;129;33;81.7;0.08;0.01;0.01;78.6
86;HotelRoomBug;ReserveRelease;129;81;83.5;0.08;0.01;0.01;80.9
85;HotelRoomBug;ReserveRelease;104;0;77.3;0.09;0.01;0.01;72.3
84;HotelRoomBug;ReserveRelease;100;0;83.5;0.07;0.01;0.01;78.7
83;HotelRoomBug;ReserveRelease;129;58;82.3;0.06;0.01;0.01;80.3
82;HotelRoomBug;ReserveRelease;129;48;84.6;0.07;0.01;0.01;81.9
81;HotelRoomBug;ReserveRelease;53;0;78.8;0.06;0.01;0.01;72.4
80;HotelRoomBug;ReserveRelease;129;23;80.9;0.07;0.01;0.01;78.1
79;HotelRoomBug;ReserveRelease;129;24;81.9;0.07;0.01;0.01;78.9
78;HotelRoomBug;ReserveRelease;129;81;83.4;0.07;0.01;0.01;81.3
77;HotelRoomBug;ReserveRelease;129;63;80.8;0.07;0.01;0.01;78.4
76;HotelRoomBug;ReserveRelease;129;35;84.1;0.07;0.01;0.01;81.3
75;HotelRoomBug;ReserveRelease;129;15;87.3;0.07;0.01;0.01;83.7
74;HotelRoomBug;ReserveRelease;116;0;83.1;0.07;0.01;0.01;79.1
73;HotelRoomBug;ReserveRelease;129;37;79.7;0.07;0.01;0.01;77.2
72;HotelRoomBug;ReserveRelease;129;30;87.7;0.08;0.01;0.01;84.0
71;HotelRoomBug;ReserveRelease;46;0;73.6;0.06;0.01;0.01;67.3
70;HotelRoomBug;ReserveRelease;66;0;79.1;0.07;0.01;0.01;73.4
69;HotelRoomBug;ReserveRelease;75;0;89.9;0.07;0.01;0.01;83.1
68;HotelRoomBug;ReserveRelease;129;12;84.8;0.07;0.01;0.01;81.4
67;HotelRoomBug;ReserveRelease;90;0;91.9;0.06;0.01;0.01;86.9
66;HotelRoomBug;ReserveRelease;129;59;85.0;0.06;0.01;0.01;82.7
65;HotelRoomBug;ReserveRelease;129;61;84.6;0.06;0.01;0.01;82.5
64;HotelRoomBug;ReserveRelease;57;0;80.4;0.07;0.01;0.01;73.6
63;HotelRoomBug;ReserveRelease;64;0;83.4;0.07;0.01;0.01;76.8
62;HotelRoomBug;ReserveRelease;87;0;81.1;0.06;0.01;0.01;76.6
61;HotelRoomBug;ReserveRelease;101;0;84.7;0.07;0.01;0.01;80.1
60;HotelRoomBug;ReserveRelease;63;0;86.3;0.06;0.01;0.01;79.6
59;HotelRoomBug;ReserveRelease;128;0;87.4;0.07;0.01;0.01;83.6
58;HotelRoomBug;ReserveRelease;129;59;83.8;0.07;0.01;0.01;81.3
57;HotelRoomBug;ReserveRelease;129;20;86.5;0.08;0.01;0.01;82.7
56;HotelRoomBug;ReserveRelease;129;1;91.0;0.07;0.01;0.01;86.9
55;HotelRoomBug;ReserveRelease;129;23;87.8;0.06;0.01;0.01;84.7
54;HotelRoomBug;ReserveRelease;100;0;90.6;0.06;0.01;0.01;85.8
53;HotelRoomBug;ReserveRelease;36;0;80.7;0.08;0.01;0.01;69.0
52;HotelRoomBug;ReserveRelease;109;0;88.3;0.07;0.01;0.01;83.8
51;HotelRoomBug;ReserveRelease;129;28;86.2;0.07;0.01;0.01;83.0
50;HotelRoomBug;ReserveRelease;88;0;80.4;0.06;0.01;0.01;76.1
49;HotelRoomBug;ReserveRelease;55;0;81.7;0.08;0.01;0.01;73.3
48;HotelRoomBug;ReserveRelease;124;0;84.5;0.06;0.01;0.01;81.0
47;HotelRoomBug;ReserveRelease;129;16;84.8;0.08;0.01;0.01;81.0
46;HotelRoomBug;ReserveRelease;44;0;87.3;0.07;0.01;0.01;77.2
45;HotelRoomBug;ReserveRelease;101;0;81.5;0.06;0.01;0.01;77.5
44;HotelRoomBug;ReserveRelease;95;0;83.6;0.07;0.01;0.01;78.6
43;HotelRoomBug;ReserveRelease;129;18;86.1;0.06;0.01;0.01;83.1
42;HotelRoomBug;ReserveRelease;81;0;80.6;0.07;0.01;0.01;75.0
41;HotelRoomBug;ReserveRelease;129;6;85.6;0.07;0.01;0.01;82.1
40;HotelRoomBug;ReserveRelease;49;0;73.6;0.07;0.01;0.01;66.7
39;HotelRoomBug;ReserveRelease;129;71;83.7;0.07;0.01;0.01;81.3
38;HotelRoomBug;ReserveRelease;129;66;83.8;0.07;0.01;0.01;81.2
37;HotelRoomBug;ReserveRelease;117;0;84.1;0.06;0.01;0.01;80.5
36;HotelRoomBug;ReserveRelease;129;54;78.7;0.08;0.01;0.01;76.0
35;HotelRoomBug;ReserveRelease;94;0;90.8;0.06;0.01;0.01;85.6
34;HotelRoomBug;ReserveRelease;129;53;81.4;0.09;0.01;0.01;78.4
33;HotelRoomBug;ReserveRelease;64;0;79.0;0.06;0.01;0.01;73.2
32;HotelRoomBug;ReserveRelease;126;0;81.5;0.08;0.01;0.01;77.7
31;HotelRoomBug;ReserveRelease;35;0;67.4;0.07;0.01;0.02;59.5
30;HotelRoomBug;ReserveRelease;108;0;82.7;0.06;0.01;0.01;78.9
29;HotelRoomBug;ReserveRelease;129;78;79.5;0.06;0.01;0.01;77.8
28;HotelRoomBug;ReserveRelease;117;0;81.6;0.06;0.01;0.01;78.6
27;HotelRoomBug;ReserveRelease;129;26;80.9;0.07;0.01;0.01;77.9
26;HotelRoomBug;ReserveRelease;77;0;75.3;0.06;0.01;0.01;71.3
25;HotelRoomBug;ReserveRelease;78;0;79.8;0.07;0.01;0.01;74.4
24;HotelRoomBug;ReserveRelease;42;0;78.9;0.09;0.01;0.01;68.1
23;HotelRoomBug;ReserveRelease;129;1;79.6;0.09;0.01;0.01;75.3
22;HotelRoomBug;ReserveRelease;117;0;84.0;0.07;0.01;0.01;80.2
21;HotelRoomBug;ReserveRelease;94;0;81.5;0.06;0.01;0.01;77.5
20;HotelRoomBug;ReserveRelease;126;0;88.1;0.07;0.01;0.01;84.2
19;HotelRoomBug;ReserveRelease;129;42;81.0;0.07;0.01;0.01;78.5
18;HotelRoomBug;ReserveRelease;54;0;76.7;0.08;0.01;0.01;69.2
17;HotelRoomBug;ReserveRelease;129;56;80.8;0.08;0.01;0.01;78.2
16;HotelRoomBug;ReserveRelease;125;0;77.0;0.07;0.01;0.01;73.7
15;HotelRoomBug;ReserveRelease;129;47;82.2;0.07;0.01;0.01;79.5
14;HotelRoomBug;ReserveRelease;63;0;80.8;0.07;0.01;0.01;74.5
13;HotelRoomBug;ReserveRelease;129;69;77.6;0.07;0.01;0.01;75.4
12;HotelRoomBug;ReserveRelease;36;0;77.9;0.06;0.01;0.01;68.7
11;HotelRoomBug;ReserveRelease;129;16;84.6;0.07;0.01;0.01;81.4
10;HotelRoomBug;ReserveRelease;129;70;82.6;0.08;0.01;0.01;79.9
9;HotelRoomBug;ReserveRelease;63;0;78.0;0.07;0.01;0.01;72.2
8;HotelRoomBug;ReserveRelease;80;0;84.0;0.08;0.01;0.01;77.5
7;HotelRoomBug;ReserveRelease;48;0;76.1;0.06;0.01;0.01;69.7
6;HotelRoomBug;ReserveRelease;69;0;74.1;0.08;0.01;0.01;68.5
5;HotelRoomBug;ReserveRelease;129;15;85.8;0.06;0.01;0.01;82.7
4;HotelRoomBug;ReserveRelease;87;0;81.9;0.07;0.01;0.01;77.1
3;HotelRoomBug;ReserveRelease;63;0;73.9;0.09;0.01;0.01;66.7
2;HotelRoomBug;ReserveRelease;129;66;79.7;0.08;0.01;0.01;77.1
1;HotelRoomBug;ReserveRelease;129;8;82.0;0.06;0.01;0.01;79.1
